# This file contains the temperature vs. altitude curve for Kerbin up to 100 km. Altitude in meters and temperature in K.

altitude                , temperature
5.863172634526905313e+04, 2.161218546594161865e+02
5.865173034606921283e+04, 2.161024879890696582e+02
5.867173434686937253e+04, 2.160835077047526340e+02
5.869173834766953223e+04, 2.160649427772724209e+02
5.871174234846969193e+04, 2.160467738231177748e+02
5.873174634926985163e+04, 2.160289962441461569e+02
5.875175035007001134e+04, 2.160115967419848459e+02
5.877175435087017104e+04, 2.159946002222771426e+02
5.879175835167033074e+04, 2.159779883326941388e+02
5.881176235247049772e+04, 2.159617590108758520e+02
5.883176635327065742e+04, 2.159459081321024883e+02
5.885177035407081712e+04, 2.159304341496041388e+02
5.887177435487097682e+04, 2.159153324230709075e+02
5.889177835567113652e+04, 2.159006019213229024e+02
5.891178235647129623e+04, 2.158862385196402442e+02
5.893178635727145593e+04, 2.158722391244831158e+02
5.895179035807161563e+04, 2.158586016734915347e+02
5.897179435887177533e+04, 2.158453235887156438e+02
5.899179835967193503e+04, 2.158324007454355922e+02
5.901180236047209473e+04, 2.158198305657014657e+02
5.903180636127225443e+04, 2.158076257303524699e+02
5.905181036207241414e+04, 2.157957526282705771e+02
5.907181436287257384e+04, 2.157842239402949645e+02
5.909181836367273354e+04, 2.157730437911454260e+02
5.911182236447289324e+04, 2.157621946507627229e+02
5.913182636527305294e+04, 2.157516811594566377e+02
5.915183036607321264e+04, 2.157414997080973365e+02
5.917183436687337235e+04, 2.157316628950052575e+02
5.919183836767353205e+04, 2.157221353119968228e+02
5.921184236847369175e+04, 2.157129492331814902e+02
5.923184636927385145e+04, 2.157040685923600165e+02
5.925185037007401843e+04, 2.156955065859627609e+02
5.929185837167433783e+04, 2.156793392987188156e+02
5.933186637327465724e+04, 2.156644083955351618e+02
5.935187037407481694e+04, 2.156574074739928335e+02
5.939187837567513634e+04, 2.156442883542699462e+02
5.945189037807561544e+04, 2.156268209344203228e+02
6.337267453490698244e+04, 2.164175770307052744e+02
6.343268653730746155e+04, 2.164007569991988476e+02
6.349269853970794065e+04, 2.163813002556063623e+02
6.353270654130826006e+04, 2.163668164304642403e+02
6.355271054210841976e+04, 2.163591212124803462e+02
6.357271454290857946e+04, 2.163511176734507728e+02
6.359271854370873916e+04, 2.163428006575052507e+02
6.363272654530905857e+04, 2.163251850473666877e+02
6.365273054610921827e+04, 2.163159090174529240e+02
6.367273454690938524e+04, 2.163063071367165549e+02
6.369273854770954495e+04, 2.162963763116371467e+02
6.371274254850970465e+04, 2.162861175733881680e+02
6.373274654930986435e+04, 2.162755206102347074e+02
6.375275055011002405e+04, 2.162645895468707238e+02
6.377275455091018375e+04, 2.162533171650818247e+02
6.379275855171034345e+04, 2.162417034648680101e+02
6.381276255251050316e+04, 2.162297422591882992e+02
6.383276655331066286e+04, 2.162174345792162171e+02
6.385277055411082256e+04, 2.162047732067373431e+02
6.387277455491098226e+04, 2.161917744317142365e+02
6.389277855571114196e+04, 2.161784036118747565e+02
6.879375875175035617e+04, 2.076989209497810123e+02
6.881376275255050859e+04, 2.076899159582655159e+02
6.999399879975995282e+04, 2.077061007508625607e+02
7.001400280056010524e+04, 4.000000000000000000e+00
1.000000000000000000e+05, 4.000000000000000000e+00
